"ADDRESS","LATITUDE","LONGTITUDE","address"
"80 MARINE PARADE ROAD OCBC PARKWAY PARADE SINGAPORE 449269","1.30115259939855","103.905281816778","449269"
"80 MARINE PARADE ROAD OCBC PARKWAY PARADE SINGAPORE 449269","1.30115259939855","103.905281816778","449269"
"56 MARINE TERRACE MARINE TERRACE HAVEN SINGAPORE 440056","1.30560569433107","103.91537607851","440056"
"255 EAST COAST ROAD CITIBANK ESSO EAST COAST SINGAPORE 428932","1.30836164661181","103.907988808727","428932"
"1 JALAN PAPAN TERUSAN RECREATION CENTRE SINGAPORE 619392","1.32048425814831","103.726722833663","619392"
"6 TUAS SOUTH STREET 15 DBS CDPL DORMITORY (TUAS) SINGAPORE 636906","1.27269381942258","103.637262607502","636906"
"1 HARBOURFRONT WALK OCBC VIVOCITY - FAIRPRICE SINGAPORE 098585","1.26430476483158","103.822308649643","098585"
"1 COVE AVENUE OCBC SENTOSA COVE SINGAPORE 098537","1.24694068557266","103.839986098204","098537"
"31 OCEAN WAY QUAYSIDE ISLE SINGAPORE 098375","1.24707037485673","103.842196112807","098375"
"460 ALEXANDRA ROAD OCBC ALEXANDRA RD - FAIRPRICE SINGAPORE 119963","1.27355689047152","103.801714113944","119963"
"1 FUSIONOPOLIS WAY CONNEXIS SINGAPORE 138632","1.29943736719293","103.787576666868","138632"
"108 DEPOT ROAD OCBC DEPOT HEIGHTS SHOPPING CENTRE SINGAPORE 100108","1.28096680702384","103.810298189643","100108"
"78A TELOK BLANGAH STREET 32 OCBC TELOK BLANGAH STREET 32 - FAIRPRICE SINGAPORE 101078","1.27333965906066","103.808990063778","101078"
"1 MARITIME SQUARE OCBC MARITIME SQUARE SINGAPORE 099253","1.26408889294438","103.820208766742","099253"
"1 LOWER KENT RIDGE ROAD NUH MEDICAL CENTRE SINGAPORE 119082","1.29351287719231","103.784685581372","119082"
"1 VISTA EXCHANGE GREEN OCBC THE STAR VISTA SINGAPORE 138617","1.30681500712523","103.788462732266","138617"
"1 VISTA EXCHANGE GREEN OCBC THE STAR VISTA SINGAPORE 138617","1.30681500712523","103.788462732266","138617"
"451 CLEMENTI AVENUE 3 OCBC CLEMENTI AVENUE 3 - FAIRPRICE SINGAPORE 120451","1.31270551233462","103.765680278322","120451"
"3155 COMMONWEALTH AVENUE WEST OCBC THE CLEMENTI MALL - FAIRPRICE SINGAPORE 129588","1.3151619083025","103.764711789372","129588"
"352 CLEMENTI AVENUE 2 OCBC CLEMENTI AVENUE 2 -FAIRPRICE SINGAPORE 120352","1.31427265951788","103.771360860916","120352"
"28 DOVER CRESCENT OCBC DOVER CRESCENT - FAIRPRICE SINGAPORE 130028","1.30446092675742","103.781779696748","130028"
