"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"21 COMPASSVALE STREET COMPASSVALE PRIMARY SCHOOL SINGAPORE 545091",1.39444529636566,103.897812229905,"COMPASSVALE PRIMARY SCHOOL","school"
"51 COMPASSVALE CRESCENT COMPASSVALE SECONDARY SCHOOL SINGAPORE 545083",1.39614083952009,103.899847164494,"COMPASSVALE SECONDARY SCHOOL","school"
"3 CHOA CHU KANG AVENUE 4 CONCORD PRIMARY SCHOOL SINGAPORE 689814",1.38000806197242,103.736225440727,"CONCORD PRIMARY SCHOOL","school"
"31 JURONG WEST STREET 24 CORPORATION PRIMARY SCHOOL SINGAPORE 648347",1.35099779872539,103.707593724342,"CORPORATION PRIMARY SCHOOL","school"
"357 TANGLIN ROAD CRESCENT GIRLS' SCHOOL SINGAPORE 247961",1.29331947049729,103.817544461483,"CRESCENT GIRLS' SCHOOL","school"
"561 JURONG EAST STREET 24 CREST SECONDARY SCHOOL SINGAPORE 609561",1.3431198045076,103.742628105304,"CREST SECONDARY SCHOOL","school"
"52 BEDOK RESERVOIR CRESCENT DAMAI PRIMARY SCHOOL SINGAPORE 479226",1.33546106800406,103.921270169613,"DAMAI PRIMARY SCHOOL","school"
"4800 BEDOK RESERVOIR ROAD DAMAI SECONDARY SCHOOL SINGAPORE 479229",1.33692798510393,103.927091653438,"DAMAI SECONDARY SCHOOL","school"
"35 BUKIT BATOK STREET 31 DAZHONG PRIMARY SCHOOL SINGAPORE 659441",1.3591797447277,103.74847210784,"DAZHONG PRIMARY SCHOOL","school"
"11 CHOA CHU KANG STREET 52 DE LA SALLE SCHOOL SINGAPORE 689285",1.3947078296399,103.743201812831,"DE LA SALLE SCHOOL","school"
"1 ANG MO KIO STREET 42 DEYI SECONDARY SCHOOL SINGAPORE 569277",1.36599702567717,103.852545772422,"DEYI SECONDARY SCHOOL","school"
"21 BUKIT BATOK WEST AVENUE 2 DUNEARN SECONDARY SCHOOL SINGAPORE 659204",1.36357900792871,103.74472109107,"DUNEARN SECONDARY SCHOOL","school"
"10 TANJONG RHU ROAD DUNMAN HIGH SCHOOL SINGAPORE 436895",1.29996216014962,103.88294155989,"DUNMAN HIGH SCHOOL","school"
"21 TAMPINES STREET 45 DUNMAN SECONDARY SCHOOL SINGAPORE 529093",1.36065258337022,103.956213906966,"DUNMAN SECONDARY SCHOOL","school"
"31 TAMPINES STREET 33 EAST SPRING PRIMARY SCHOOL SINGAPORE 529258",1.35268400746357,103.961676849165,"EAST SPRING PRIMARY SCHOOL","school"
