"ADDRESS","LATITUDE","LONGTITUDE","address","amenitiestype"
"21 CHOA CHU KANG AVENUE 4 LOT ONE, SHOPPERS' MALL SINGAPORE 689812",1.38497459672379,103.745011766388,"Lot One","shopping mall"
"452 UPPER BUKIT TIMAH ROAD THE RAIL MALL SINGAPORE 678206",1.35976061966283,103.767585300058,"Rail Mall","shopping mall"
"475 CHOA CHU KANG AVENUE 3 SUNSHINE PLACE SINGAPORE 680475",1.37789727654673,103.739015486021,"Sunshine Place","shopping mall"
"137 TECK WHYE LANE TECK WHYE SHOPPING CENTRE SINGAPORE 680137",1.38004752975397,103.752483841199,"Teck Whye Shopping Centre","shopping mall"
"1 BUKIT BATOK CENTRAL LINK WEST MALL SINGAPORE 658713",1.35001920979845,103.749244800677,"West Mall","shopping mall"
"21 CHOA CHU KANG NORTH 6 UOB YEW TEE POINT SINGAPORE 689578",1.39705741516141,103.746662121143,"Yew Tee Point","shopping mall"
"622 CHOA CHU KANG STREET 62 YEW TEE SQUARE SINGAPORE 680622",1.39836942665376,103.747188486453,"Yew Tee Square","shopping mall"
"1 HARBOURFRONT WALK VIVOCITY SINGAPORE 098585",1.26429316783973,103.82230469365,"VivoCity","shopping mall"
"1 MARITIME SQUARE HARBOURFRONT CENTRE SINGAPORE 099253",1.26396991176004,103.820243325181,"HarbourFront Centre","shopping mall"
"460 ALEXANDRA ROAD ALEXANDRA RETAIL CENTRE (ARC) SINGAPORE 119963",1.27414893629254,103.801399416665,"Alexandra Retail Centre","shopping mall"
"321 CLEMENTI AVENUE 3 321 CLEMENTI SINGAPORE 129905",1.31200212030821,103.764986676365,"321 Clementi","shopping mall"
"3155 COMMONWEALTH AVENUE WEST THE CLEMENTI MALL SINGAPORE 129588",1.31489619639366,103.764423054189,"The Clementi Mall","shopping mall"
"2 JURONG EAST STREET 21 IMM BUILDING SINGAPORE 609601",1.3350228681678,103.746801051271,"IMM","shopping mall"
"2 JURONG EAST CENTRAL 1 JCUBE SINGAPORE 609731",1.33332312550425,103.740187071348,"JCube","shopping mall"
"52 JURONG GATEWAY ROAD JEM SINGAPORE 608550",1.33305999269581,103.743503708169,"Jem","shopping mall"
"3 GATEWAY DRIVE WESTGATE SINGAPORE 608532",1.33415754608943,103.742766383798,"Westgate","shopping mall"
"1 JURONG WEST CENTRAL 2 JURONG POINT SINGAPORE 648886",1.33945271661445,103.70668501289,"Jurong Point","shopping mall"
"638 JURONG WEST STREET 61 PIONEER MALL SINGAPORE 640638",1.34169239214292,103.697174842118,"Pioneer Mall","shopping mall"
"1 VISTA EXCHANGE GREEN THE STAR VISTA SINGAPORE 138617",1.30697044038323,103.788420274115,"The Star Vista","shopping mall"
"323 ALEXANDRA ROAD ALEXANDRA CENTRAL SINGAPORE 159972",1.28745612377699,103.805414652014,"Alexandra Central","shopping mall"
"370 ALEXANDRA ROAD ANCHORPOINT SHOPPING CENTRE SINGAPORE 159953",1.28861469030586,103.805009964592,"Anchorpoint","shopping mall"
"221 BOON LAY PLACE BOON LAY SHOPPING CENTRE SINGAPORE 640221",1.34633552457315,103.712430373455,"Boon Lay Shopping Centre","shopping mall"
"3151 COMMONWEALTH AVENUE WEST GRANTRAL MALL @ CLEMENTI SINGAPORE 129581",1.31427043922294,103.765147487482,"Grantral Mall","shopping mall"
"1 JOO KOON CIRCLE FAIRPRICE HUB SINGAPORE 629117",1.32561767765205,103.678409741897,"Fairprice Hub","shopping mall"
"763 JURONG WEST STREET 75 GEK POH SHOPPING CENTRE SINGAPORE 640763",1.34874400271888,103.698298780189,"Gek Poh Shopping Centre","shopping mall"
"35 ROCHESTER DRIVE ROCHESTER MALL SINGAPORE 138639",1.30540765569962,103.788446680148,"Rochester Mall","shopping mall"
"399 YUNG SHENG ROAD TAMAN JURONG SHOPPING CENTRE SINGAPORE 610399",1.33484487416514,103.720462024278,"Taman Jurong Shopping Centre","shopping mall"
"154 WEST COAST ROAD WEST COAST PLAZA SINGAPORE 127371",1.30369748971099,103.766131294678,"West Coast Plaza","shopping mall"
"1 QUEENSWAY QUEENSWAY SHOPPING CENTRE SINGAPORE 149053",1.2876179255874,103.803391140455,"Queensway Shopping Centre","shopping mall"
